variable,surface,PC1,PC2
winner_error_ratio,Clay,0.02375923352687956,-0.43071116741429827
ace_rate,Clay,0.4018368724812186,-0.2830617197218789
return_points_won_pct,Clay,-0.43416666711879953,0.04739185190275744
net_points_won_pct,Clay,-0.3425337364424328,-0.41325548495361913
break_point_conversion_pct,Clay,-0.43658358676118525,0.22892765140561996
serve_placement_variety,Clay,-0.35036665190386895,-0.46052264768133055
slice_rate,Clay,0.4659043591877828,-0.07758309300504038
crosscourt_ratio,Clay,-0.041275663443499866,0.5392863383175365
winner_error_ratio,Grass,0.5174797313224039,0.01453849183434115
ace_rate,Grass,0.4753704300644047,-0.41391340712621555
return_points_won_pct,Grass,-0.505247126929542,-0.21903916401403314
net_points_won_pct,Grass,-0.20432219324077028,0.5104766659989168
break_point_conversion_pct,Grass,-0.32385583894431913,-0.49025964633495284
serve_placement_variety,Grass,-0.23214579942115005,-0.0312682961395203
slice_rate,Grass,0.22425014115273167,0.10364323805559089
crosscourt_ratio,Grass,-0.012371804854814162,0.5175186893170375
winner_error_ratio,Hard,0.22641141977305987,0.5102630436855392
ace_rate,Hard,-0.17231102200320747,0.6524346414158171
return_points_won_pct,Hard,0.5611299750597865,0.025666536589740552
net_points_won_pct,Hard,0.15328611328347447,0.39552502043652815
break_point_conversion_pct,Hard,0.5232506816303961,-0.2667050934600831
serve_placement_variety,Hard,-0.3243376658600465,-0.088351167827485
slice_rate,Hard,-0.3936326419445709,0.06579082818094634
crosscourt_ratio,Hard,0.21621851245887028,0.2712856119125885
