variable,surface,PC1,PC2
winner_error_ratio,Clay,0.5600995409290408,0.18620014980361013
drop_shot_effectiveness,Clay,0.6179410551070145,-0.20375145153534735
break_point_conversion_pct,Clay,0.5061938780068956,-0.3462047661727763
fisrt_serve_pct,Clay,0.21955663172094905,0.8966365540672575
winner_error_ratio,Grass,0.5855131366281237,0.1849002264159746
drop_shot_effectiveness,Grass,-0.5097715780494491,0.5201271934205974
break_point_conversion_pct,Grass,-0.46748168460845874,0.3492285007705432
break_points_saved_pct,Grass,0.4228098622365709,0.7571783562578185
winner_error_ratio,Hard,0.5926773877309639,-0.3375442810916586
drop_shot_effectiveness,Hard,0.46140551191054857,0.4736765218123029
break_points_saved_pct,Hard,0.5961739424356567,-0.3745107073576903
break_point_conversion_pct,Hard,0.2835755596162892,0.7221053531587733
