player,surface,group,PC1,PC2
Alexander Zverev,Clay,others,-0.19806988189667427,1.954748892205854
Andy Murray,Clay,others,-0.3864719464492255,0.05186526608654197
Carlos Alcaraz,Clay,sinner_alcaraz,0.0529554477209371,0.5135561705300191
Daniil Medvedev,Clay,others,-0.22599495119569865,-2.04816000334222
David Goffin,Clay,others,-1.1958849465697217,-0.029873450623456067
Felix Auger Aliassime,Clay,others,1.6648038867291834,0.3916000983446862
Grigor Dimitrov,Clay,others,-0.6194796769124172,0.691027753074958
Hubert Hurkacz,Clay,others,-0.9324145321123836,-1.2181570319274029
Jannik Sinner,Clay,sinner_alcaraz,0.06006456780465391,-0.7879992452598558
Kei Nishikori,Clay,others,-0.6016960537303955,-1.039840580729261
Marin Cilic,Clay,others,0.09250851301143373,-0.9334662295012346
Matteo Berrettini,Clay,others,0.8611408388171693,0.7750875667837118
Milos Raonic,Clay,others,-1.869598442418967,1.5167818770189558
Novak Djokovic,Clay,big_3,0.46094078956920465,0.9538328940136989
Rafael Nadal,Clay,big_3,3.090789998241315,0.9512337232703126
Roberto Bautista Agut,Clay,others,0.04218194276694529,0.596827422601348
Roger Federer,Clay,big_3,0.007133371582121339,0.1388871852228361
Stan Wawrinka,Clay,others,-3.0119781872591966,0.101908572147768
Stefanos Tsitsipas,Clay,others,0.3479538087147509,-0.17032786964062402
Taylor Fritz,Clay,others,1.1874654294013067,-0.9887176901209604
Tomas Berdych,Clay,others,1.173650024185659,-1.4208153201556748
Alexander Zverev,Grass,others,0.18139015021691296,-0.3587828224103559
Andy Murray,Grass,others,-1.051904211478855,-1.36530455989192
Carlos Alcaraz,Grass,sinner_alcaraz,0.10049605081207065,0.031536684193846136
Daniil Medvedev,Grass,others,-0.14643529681060785,1.539067581272307
David Goffin,Grass,others,-0.6835778739946395,-1.9498901138974498
Felix Auger Aliassime,Grass,others,-1.2769468352476399,0.26785589771053303
Grigor Dimitrov,Grass,others,-0.530473369716536,-0.22058413995660253
Hubert Hurkacz,Grass,others,-0.3462992781870175,0.1662743846810325
Jannik Sinner,Grass,sinner_alcaraz,0.2556768277980225,1.5342098403601507
Kei Nishikori,Grass,others,-2.449354854126165,0.6295618980645142
Marin Cilic,Grass,others,0.6711460733694926,-1.5466582184075475
Matteo Berrettini,Grass,others,-0.9509487950476218,0.5091308591530044
Milos Raonic,Grass,others,2.804141689691795,-0.6015834710257784
Novak Djokovic,Grass,big_3,0.23806636866170944,0.2944676426012601
Rafael Nadal,Grass,big_3,0.33258863174827014,1.1089156258153903
Roberto Bautista Agut,Grass,others,-0.8730555628004164,-0.4686199652541505
Roger Federer,Grass,big_3,0.4096230758082522,1.0075685290136134
Stan Wawrinka,Grass,others,0.9257112951117978,-1.319532640842074
Stefanos Tsitsipas,Grass,others,3.4852688312855267,0.6704873912954761
Taylor Fritz,Grass,others,-0.444321550746024,-0.8215340450020086
Tomas Berdych,Grass,others,-0.6507913663483287,0.8934136425267588
Alexander Zverev,Hard,others,2.9716085241898944,0.922227103026686
Andy Murray,Hard,others,-1.4570196351700067,1.8519359023681308
Carlos Alcaraz,Hard,sinner_alcaraz,0.7182350036214739,0.42291004437201446
Daniil Medvedev,Hard,others,-0.43617320824264233,0.885419396078538
David Goffin,Hard,others,-3.0391237988445647,0.37373978636025146
Felix Auger Aliassime,Hard,others,-2.8927556618249946,-0.9169949486889964
Grigor Dimitrov,Hard,others,-0.8222698201097203,0.1755257508838384
Hubert Hurkacz,Hard,others,0.7745325069534285,0.0697840184103411
Jannik Sinner,Hard,sinner_alcaraz,1.488116191742057,-0.8209267448299934
Kei Nishikori,Hard,others,-0.7338209622916905,1.3722951836383792
Marin Cilic,Hard,others,-0.5692245084344807,-0.3540568671990028
Matteo Berrettini,Hard,others,-1.021463792054169,-0.27668498350817444
Milos Raonic,Hard,others,0.35702543862659847,-3.1119487558599053
Novak Djokovic,Hard,big_3,1.451333507993902,0.2575393950537148
Rafael Nadal,Hard,big_3,-0.5284464689638378,-0.325102336711789
Roberto Bautista Agut,Hard,others,0.9728514308181935,1.7492086433421166
Roger Federer,Hard,big_3,0.8517704401251832,-1.149718255109444
Stan Wawrinka,Hard,others,1.0905291047091228,0.35974106529590605
Stefanos Tsitsipas,Hard,others,0.3979409277056829,-0.12603439148836437
Taylor Fritz,Hard,others,0.3526307478631912,-0.1459279788210705
Tomas Berdych,Hard,others,0.07372403158738036,-1.2129310266131752
