surface,n_variables,n_p_ratio,total_variance,pc1_variance,pc2_variance,variables
Clay,4,5.25,0.8288443935815217,0.47111713816291195,0.35772725541860984,"winner_error_ratio, unreturned_serve_rate, serve_placement_variety, net_points_won_pct"
Clay,5,4.2,0.7498927272177716,0.3783771942529148,0.37151553296485684,"winner_error_ratio, fisrt_serve_pts_won, unreturned_serve_rate, serve_placement_variety, net_points_won_pct"
Clay,6,3.5,0.6912263683018658,0.4014187946249792,0.28980757367688653,"winner_error_ratio, ace_rate, fisrt_serve_pts_won, return_points_won_pct, break_point_conversion_pct, slice_rate"
Clay,7,3.0,0.632909339167128,0.35517068596581647,0.2777386532013115,"winner_error_ratio, ace_rate, fisrt_serve_pts_won, serve_placement_variety, return_points_won_pct, break_point_conversion_pct, slice_rate"
Clay,8,2.62,0.5962305851268455,0.3567081801837632,0.23952240494308227,"ace_rate, unreturned_serve_rate, serve_placement_variety, return_points_won_pct, break_point_conversion_pct, net_points_won_pct, slice_rate, drop_shot_frequency"
Grass,4,5.25,0.8315190573745166,0.5196841174025011,0.31183493997201556,"winner_error_ratio, ace_rate, unreturned_serve_rate, net_points_won_pct"
Grass,5,4.2,0.7460455756557987,0.513367124908026,0.23267845074777263,"winner_error_ratio, ace_rate, unreturned_serve_rate, return_points_won_pct, break_point_conversion_pct"
Grass,6,3.5,0.691749562183113,0.4354751616989614,0.2562744004841516,"winner_error_ratio, ace_rate, unreturned_serve_rate, return_points_won_pct, break_point_conversion_pct, net_points_won_pct"
Grass,7,3.0,0.6456837172533578,0.3548569434478469,0.2908267738055109,"winner_error_ratio, ace_rate, fisrt_serve_pct, fisrt_serve_pts_won, unreturned_serve_rate, return_points_won_pct, crosscourt_ratio"
Grass,8,2.62,0.6137398677530441,0.34706253418805705,0.2666773335649871,"winner_error_ratio, ace_rate, fisrt_serve_pct, fisrt_serve_pts_won, unreturned_serve_rate, return_points_won_pct, break_point_conversion_pct, crosscourt_ratio"
Hard,4,5.25,0.9019138792571156,0.6636619555551249,0.2382519237019908,"winner_error_ratio, break_points_saved_pct, fisrt_serve_pts_won, unreturned_serve_rate"
Hard,5,4.2,0.8311811646849216,0.5042925909806822,0.32688857370423935,"winner_error_ratio, break_points_saved_pct, fisrt_serve_pts_won, return_points_won_pct, break_point_conversion_pct"
Hard,6,3.5,0.7672252060140481,0.4570121694137671,0.31021303660028093,"winner_error_ratio, break_points_saved_pct, ace_rate, fisrt_serve_pts_won, return_points_won_pct, break_point_conversion_pct"
Hard,7,3.0,0.7126693229878024,0.4305313928782961,0.2821379301095063,"winner_error_ratio, break_points_saved_pct, ace_rate, fisrt_serve_pct, fisrt_serve_pts_won, drop_shot_frequency, drop_shot_effectiveness"
Hard,8,2.62,0.6577467222344272,0.4099497889374338,0.24779693329699345,"winner_error_ratio, break_points_saved_pct, ace_rate, fisrt_serve_pct, fisrt_serve_pts_won, unreturned_serve_rate, drop_shot_frequency, drop_shot_effectiveness"
