player,surface,group,PC1,PC2
Alexander Zverev,Clay,others,-1.4887711795694571,0.48464299336749184
Andy Murray,Clay,others,0.6937129037066335,0.16380868116869657
Carlos Alcaraz,Clay,sinner_alcaraz,-0.8508170073154486,-0.2634650076681561
Daniil Medvedev,Clay,others,-0.14904078175431296,-1.4592612280666748
David Goffin,Clay,others,0.2359001266709314,-1.6203532498261732
Felix Auger Aliassime,Clay,others,-0.43169424749363233,2.327162228857983
Grigor Dimitrov,Clay,others,0.5172546958840598,-0.09745868881371787
Hubert Hurkacz,Clay,others,0.28200539874286945,-0.9057334615235811
Jannik Sinner,Clay,sinner_alcaraz,1.043566858352464,0.5426114003735641
Kei Nishikori,Clay,others,3.0147024453653417,-0.015909952673605097
Marin Cilic,Clay,others,-1.7215765867791941,-1.2089285102455762
Matteo Berrettini,Clay,others,-1.6717449689962758,1.6042877350369915
Milos Raonic,Clay,others,-0.10010532337655349,-0.24420005298923486
Novak Djokovic,Clay,big_3,0.3180297010977934,-0.600397922796421
Rafael Nadal,Clay,big_3,2.4299234102412006,1.650524651728448
Roberto Bautista Agut,Clay,others,-0.8537632116146645,-2.0858843565520893
Roger Federer,Clay,big_3,-0.07499690144907675,-0.18830811060461036
Stan Wawrinka,Clay,others,0.0628671709298318,-1.5451482089405
Stefanos Tsitsipas,Clay,others,-0.16092114910449862,0.8538742530952594
Taylor Fritz,Clay,others,-3.0197013528883896,1.71578625970191
Tomas Berdych,Clay,others,1.9251699993503777,0.8923505473699936
Alexander Zverev,Grass,others,0.9551660730591589,-0.1882117468080952
Andy Murray,Grass,others,-0.6972351714515671,0.2233823249300547
Carlos Alcaraz,Grass,sinner_alcaraz,0.3484278984602749,-0.22427840520324957
Daniil Medvedev,Grass,others,1.6230384995642937,-0.4108916900560337
David Goffin,Grass,others,-1.7722354006211583,0.7588979915662167
Felix Auger Aliassime,Grass,others,0.6735298076000068,-0.4198201286729784
Grigor Dimitrov,Grass,others,-0.3880492618159461,0.7742426668221901
Hubert Hurkacz,Grass,others,0.31904099003146424,-1.887931638561976
Jannik Sinner,Grass,sinner_alcaraz,-1.642130929307919,0.5097893967820569
Kei Nishikori,Grass,others,-2.0321448864851615,-0.4473113828446738
Marin Cilic,Grass,others,0.4933792162876672,-1.8720684324217445
Matteo Berrettini,Grass,others,0.3554555420764787,-1.7571866463526158
Milos Raonic,Grass,others,1.759631900527805,0.04477846070587363
Novak Djokovic,Grass,big_3,-1.4748051856715862,-0.5925206299160449
Rafael Nadal,Grass,big_3,-0.28346321416684617,1.3731019467395211
Roberto Bautista Agut,Grass,others,-2.7387500879850926,1.6369656753829076
Roger Federer,Grass,big_3,-0.38982150670551485,1.1045954638802318
Stan Wawrinka,Grass,others,0.4794994962651983,0.4851538584020241
Stefanos Tsitsipas,Grass,others,3.868916921127754,2.4990740746674867
Taylor Fritz,Grass,others,0.5020184144347188,-0.8629960828080512
Tomas Berdych,Grass,others,0.040530884775970014,-0.746765076233102
Alexander Zverev,Hard,others,2.2682869339833984,0.943266342473727
Andy Murray,Hard,others,-2.5948622600394358,-0.29077287500258286
Carlos Alcaraz,Hard,sinner_alcaraz,1.1548862822291568,1.807506095330305
Daniil Medvedev,Hard,others,-0.9027237645074263,-0.689822589814472
David Goffin,Hard,others,-3.472865638808328,1.103045995026305
Felix Auger Aliassime,Hard,others,-1.6260126170649762,0.3845808034279672
Grigor Dimitrov,Hard,others,-1.0312957333463983,-0.3786327772318799
Hubert Hurkacz,Hard,others,0.39323492654597947,-1.5625469225410555
Jannik Sinner,Hard,sinner_alcaraz,1.7026821680731694,-0.3640708509782527
Kei Nishikori,Hard,others,-1.7295605234436606,0.39267331832276137
Marin Cilic,Hard,others,-1.1382363353541978,-0.34356735250351866
Matteo Berrettini,Hard,others,-0.9643223751239746,0.013494300805804613
Milos Raonic,Hard,others,2.7332986100623153,0.8593481403148616
Novak Djokovic,Hard,big_3,1.8995536269111601,-0.5773808366170583
Rafael Nadal,Hard,big_3,-1.3218781955406647,-0.6946581329998288
Roberto Bautista Agut,Hard,others,0.43076972063874774,1.46970205555495
Roger Federer,Hard,big_3,1.5791809435462454,-2.094798182832612
Stan Wawrinka,Hard,others,0.6908013717393452,-0.9424418938781252
Stefanos Tsitsipas,Hard,others,0.1422344542219087,0.08908735910794338
Taylor Fritz,Hard,others,1.095646186020227,1.3208945245440287
Tomas Berdych,Hard,others,0.6911822192574097,-0.44490652050926643
